TRIAL_DATE,PURCHASED_PLAN,PURCHASE_DATE,UPGRADE_PRODUCT_x,MARKETING_PROD_LVL,SALES_PROD_LVL,SERVICE_PROD_LVL,PAID_HUB,COUNTRY,LANGUAGE,SOURCE,TRIAL_HUB,ALL_ITEMS,PURCHASE_HUB,TG_PAGEVIEW,TG_INTERACTION,UPGRADE_PRODUCT_y,SEO_PAGEVIEW,SOCIAL_PAGEVIEW,LANDING_PAGEVIEW,BLOG_PAGEVIEW,WEBSITE_PAGEVIEW,CTA_PAGEVIEW,ADS_PAGEVIEW,ABTEST_PAGEVIEW,WORKFLOWS_PAGEVIEW,ANALYTICS_TOOLS_PAGEVIEW,CAMPAIGNS_PAGEVIEW,REPORT_BUILDER_PAGEVIEW,DASHBORD_PAGEVIEW,DMT_PAGEVIEW,LEARN_PAGEVIEW,DISCOVERY_COUNT,SEGMENT
2019-08-09,,,marketing-pro,free,none,none,FALSE,United States,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,5,Other
2019-08-10,,,marketing-pro,free,free,free,FALSE,Canada,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,10,Other
2019-08-08,,,marketing-pro,starter,free,free,TRUE,Brazil,Portuguese,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,9,Other
2019-08-15,,,marketing-pro,free,starter,none,TRUE,United States,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,1,1,marketing-pro,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,Other
2019-08-16,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,5,Other
2019-08-06,1,2019-08-06 3:37:00,marketing-pro,free,none,none,FALSE,Hong Kong,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Additional Contacts"",
  ""Marketing Hub Starter""
 ]",Marketing,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Other
2019-08-21,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,7,Other
2019-08-22,,,marketing-pro,free,none,none,FALSE,India,English,learning-center-content-trial-button-content,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other
2019-08-15,,,marketing-pro,free,free,free,FALSE,Brazil,Portuguese,learning-center-content-trial-button-social,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other
2019-08-21,,,marketing-pro,free,none,none,FALSE,Germany,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,6,Other
2019-08-02,,,marketing-pro,free,free,free,FALSE,Philippines,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,10,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,New Zealand,English,learning-center-content-trial-button-content,Marketing,,,1,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other
2019-08-20,,,marketing-pro,free,none,none,FALSE,Belgium,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,5,Other
2019-08-08,,,marketing-pro,free,none,none,FALSE,Ukraine,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,United States,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,Other
2019-08-03,,,marketing-pro,free,none,none,FALSE,Bangladesh,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,Norway,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,4,Other
2019-08-16,,,marketing-pro,free,none,none,FALSE,United States,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,Other
2019-08-05,,,marketing-pro,free,none,none,FALSE,Malaysia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Other
2019-08-05,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,Finland,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,Other
2019-08-13,,,marketing-pro,free,free,free,FALSE,France,French,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,6,Other
2019-08-07,1,2019-08-13 11:52:55,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Additional Contacts"",
  ""Tech Service: Dedicated IP for Email"",
  ""Transactional Email"",
  ""Marketing Hub Professional"",
  ""Tech Service: First-Time Template Setup"",
  ""Marketing Hub Professional Onboarding""
 ]",Marketing,0,0,marketing-pro,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,Other
2019-08-22,1,2019-08-22 11:29:16,marketing-pro,free,free,free,FALSE,Malaysia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Marketing Hub Enterprise"",
  ""Sales Hub Starter"",
  ""Tech Service: First-Time Template Setup"",
  ""HubSpot for Startups Setup""
 ]",Marketing,1,0,marketing-pro,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,10,Other
2019-08-14,1,2019-08-26 16:54:07,marketing-pro,free,free,free,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Marketing Hub Professional"",
  ""Tech Service: First-Time Template Setup""
 ]",Marketing,1,1,marketing-pro,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,4,Other
2019-08-23,,,marketing-pro,free,none,none,FALSE,Jamaica,English,learning-center-content-trial-button-social,Marketing,,,0,0,marketing-pro,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,Other
2019-08-05,,,marketing-pro,free,free,free,FALSE,Germany,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Other
2019-08-14,,,marketing-pro,free,starter,free,TRUE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,7,Other
